,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
0,Death Stranding,0,2,"['PC', 'PlayStation']",3,"['Steam', 'PlayStation Store', 'Epic Games']","['Adventure', 'Action']",2019-11-08,4.37,5,718,82.0,"{'yet': 232, 'owned': 1889, 'beaten': 424, 'toplay': 1117, 'dropped': 55, 'playing': 189}",11
1,Sekiro: Shadows Die Twice,17,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Action', 'RPG']",2019-03-22,4.38,5,995,90.0,"{'yet': 213, 'owned': 1692, 'beaten': 512, 'toplay': 809, 'dropped': 237, 'playing': 206}",3
2,Apex Legends,0,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Massively Multiplayer', 'Action']",2019-02-04,3.68,4,1219,88.0,"{'yet': 58, 'owned': 2307, 'beaten': 163, 'toplay': 38, 'dropped': 683, 'playing': 296}",2
3,Borderlands Game of the Year Enhanced,2,3,"['PC', 'PlayStation', 'Xbox']",1,['Steam'],"['Shooter', 'Action', 'RPG']",2019-04-03,3.82,4,592,78.0,"{'yet': 189, 'owned': 2458, 'beaten': 341, 'toplay': 74, 'dropped': 186, 'playing': 46}",4
4,Devil May Cry 5,10,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",['Action'],2019-03-08,4.24,5,806,88.0,"{'yet': 179, 'owned': 1571, 'beaten': 564, 'toplay': 575, 'dropped': 103, 'playing': 114}",3
5,Star Wars Jedi: Fallen Order,8,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Adventure', 'Action']",2019-11-15,4.12,4,620,80.0,"{'yet': 129, 'owned': 1486, 'beaten': 500, 'toplay': 708, 'dropped': 74, 'playing': 140}",11
6,Resident Evil 2,11,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Adventure', 'Action']",2019-01-25,4.45,5,987,91.0,"{'yet': 185, 'owned': 1101, 'beaten': 720, 'toplay': 615, 'dropped': 93, 'playing': 108}",1
8,The Outer Worlds,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']",['RPG'],2019-10-25,4.0,4,585,80.0,"{'yet': 164, 'owned': 1190, 'beaten': 362, 'toplay': 680, 'dropped': 158, 'playing': 138}",10
9,Metro Exodus,17,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']","['Shooter', 'Action']",2019-02-13,4.03,4,660,81.0,"{'yet': 183, 'owned': 1237, 'beaten': 430, 'toplay': 577, 'dropped': 114, 'playing': 81}",2
10,Control,0,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Adventure', 'Action']",2019-08-27,4.19,4,579,84.0,"{'yet': 168, 'owned': 1023, 'beaten': 416, 'toplay': 750, 'dropped': 105, 'playing': 129}",8
12,Gears 5,5,3,"['PC', 'Xbox']",2,"['Steam', 'Xbox Store']","['Shooter', 'Action']",2019-09-10,3.94,4,391,83.0,"{'yet': 95, 'owned': 1302, 'beaten': 203, 'toplay': 280, 'dropped': 64, 'playing': 75}",9
13,A Plague Tale: Innocence,5,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Adventure', 'Action']",2019-05-13,4.21,4,422,82.0,"{'yet': 133, 'owned': 937, 'beaten': 369, 'toplay': 477, 'dropped': 46, 'playing': 57}",5
14,Days Gone,0,1,['PlayStation'],1,['PlayStation Store'],"['Adventure', 'Action']",2019-04-26,3.91,4,392,71.0,"{'yet': 98, 'owned': 1144, 'beaten': 194, 'toplay': 423, 'dropped': 61, 'playing': 76}",4
15,Slay the Spire,12,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store']","['Card', 'Strategy', 'Indie', 'RPG']",2019-01-22,4.39,5,473,87.0,"{'yet': 85, 'owned': 1246, 'beaten': 201, 'toplay': 118, 'dropped': 118, 'playing': 143}",1
16,Borderlands 3,12,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Adventure', 'Action', 'RPG']",2019-09-13,3.95,4,296,80.0,"{'yet': 112, 'owned': 1000, 'beaten': 132, 'toplay': 398, 'dropped': 53, 'playing': 122}",9
17,Mortal Kombat 11,8,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Adventure', 'Action', 'Fighting']",2019-04-23,3.97,4,424,82.0,"{'yet': 62, 'owned': 1132, 'beaten': 184, 'toplay': 261, 'dropped': 73, 'playing': 95}",4
18,My Friend Pedro,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Shooter', 'Arcade', 'Action']",2019-06-19,3.85,4,327,76.0,"{'yet': 80, 'owned': 1006, 'beaten': 224, 'toplay': 260, 'dropped': 99, 'playing': 38}",6
19,Disco Elysium,4,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Adventure', 'RPG']",2019-10-14,4.27,5,178,91.0,"{'yet': 126, 'owned': 901, 'beaten': 86, 'toplay': 483, 'dropped': 36, 'playing': 72}",10
20,Tom Clancy’s The Division 2,0,4,"['PC', 'PlayStation', 'Xbox', 'Web']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Adventure', 'Action', 'RPG']",2019-03-15,3.79,4,418,83.0,"{'yet': 67, 'owned': 970, 'beaten': 127, 'toplay': 160, 'dropped': 126, 'playing': 137}",3
21,Kingdom Hearts III,0,2,"['PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']","['Adventure', 'Action', 'RPG']",2019-01-29,3.83,4,338,82.0,"{'yet': 78, 'owned': 840, 'beaten': 251, 'toplay': 251, 'dropped': 46, 'playing': 67}",1
22,Life is Strange 2,5,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Adventure'],2019-12-04,3.81,4,297,76.0,"{'yet': 132, 'owned': 757, 'beaten': 138, 'toplay': 297, 'dropped': 46, 'playing': 96}",12
23,DiRT Rally 2.0,3,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Racing', 'Simulation', 'Sports']",2019-02-26,3.5,4,103,83.0,"{'yet': 65, 'owned': 1209, 'beaten': 7, 'toplay': 55, 'dropped': 67, 'playing': 21}",2
24,RAGE 2,9,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Adventure', 'Action', 'RPG']",2019-05-14,3.19,3,358,71.0,"{'yet': 66, 'owned': 701, 'beaten': 157, 'toplay': 279, 'dropped': 110, 'playing': 44}",5
25,Blasphemous,2,5,"['PC', 'PlayStation', 'Xbox', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Platformer', 'Adventure', 'Action']",2019-09-09,4.0,4,149,78.0,"{'yet': 82, 'owned': 872, 'beaten': 90, 'toplay': 169, 'dropped': 41, 'playing': 34}",9
26,Katana ZERO,5,3,"['PC', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'GOG', 'Nintendo Store']","['Platformer', 'Indie', 'Action']",2019-04-17,4.41,5,340,83.0,"{'yet': 62, 'owned': 504, 'beaten': 317, 'toplay': 272, 'dropped': 37, 'playing': 40}",4
28,Bloodstained: Ritual of the Night,9,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Adventure', 'Action']",2019-06-18,4.0,4,216,81.0,"{'yet': 71, 'owned': 643, 'beaten': 142, 'toplay': 160, 'dropped': 60, 'playing': 47}",6
31,Outer Wilds,2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Adventure', 'Action']",2019-05-29,4.17,5,182,84.0,"{'yet': 81, 'owned': 513, 'beaten': 93, 'toplay': 293, 'dropped': 68, 'playing': 40}",5
32,Anthem,0,3,"['PC', 'PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']","['Shooter', 'Adventure', 'Action', 'RPG']",2019-02-22,2.7,3,315,59.0,"{'yet': 31, 'owned': 630, 'beaten': 55, 'toplay': 185, 'dropped': 130, 'playing': 39}",2
34,Baba Is You,3,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'Nintendo Store', 'itch.io']","['Indie', 'Puzzle']",2019-03-13,4.4,5,251,86.0,"{'yet': 41, 'owned': 518, 'beaten': 37, 'toplay': 200, 'dropped': 110, 'playing': 119}",3
35,Untitled Goose Game,0,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store', 'Epic Games']","['Indie', 'Family', 'Action', 'Puzzle']",2019-09-20,4.1,4,285,80.0,"{'yet': 47, 'owned': 409, 'beaten': 212, 'toplay': 235, 'dropped': 78, 'playing': 38}",9
36,FIFA 20,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",2,"['PlayStation Store', 'Xbox Store']",['Sports'],2019-09-27,3.12,4,192,68.0,"{'yet': 13, 'owned': 796, 'beaten': 28, 'toplay': 34, 'dropped': 52, 'playing': 71}",9
37,Far Cry New Dawn,13,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Arcade', 'Shooter', 'Adventure', 'Action']",2019-02-15,3.44,4,251,73.0,"{'yet': 66, 'owned': 497, 'beaten': 150, 'toplay': 181, 'dropped': 52, 'playing': 25}",2
39,Assassin's Creed III: Remastered,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Adventure', 'Action']",2019-03-29,3.43,4,201,71.0,"{'yet': 85, 'owned': 572, 'beaten': 104, 'toplay': 91, 'dropped': 48, 'playing': 28}",3
40,Remnant: From the Ashes,6,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Adventure', 'Action', 'RPG']",2019-08-20,3.56,4,145,79.0,"{'yet': 47, 'owned': 572, 'beaten': 71, 'toplay': 153, 'dropped': 51, 'playing': 33}",8
41,Wolfenstein: Youngblood,6,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Shooter', 'Action']",2019-07-26,2.52,3,202,66.0,"{'yet': 73, 'owned': 453, 'beaten': 60, 'toplay': 216, 'dropped': 71, 'playing': 33}",7
42,Call of Duty: Modern Warfare (2019),0,3,"['PC', 'PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']","['Shooter', 'Action', 'Simulation']",2019-10-25,3.73,4,237,80.0,"{'yet': 54, 'owned': 326, 'beaten': 139, 'toplay': 248, 'dropped': 35, 'playing': 97}",10
43,The Dark Pictures: Man of Medan,5,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Adventure'],2019-08-30,3.46,4,214,71.0,"{'yet': 66, 'owned': 449, 'beaten': 168, 'toplay': 176, 'dropped': 17, 'playing': 20}",8
44,Dauntless,0,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Nintendo']",5,"['PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store', 'Epic Games']","['Casual', 'Massively Multiplayer', 'Action', 'RPG']",2019-05-21,3.1,3,236,78.0,"{'yet': 27, 'owned': 613, 'beaten': 11, 'toplay': 24, 'dropped': 181, 'playing': 34}",5
47,Void Bastards,3,4,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Strategy', 'Arcade', 'Action']",2019-05-28,3.77,4,175,78.0,"{'yet': 45, 'owned': 520, 'beaten': 45, 'toplay': 106, 'dropped': 81, 'playing': 15}",5
48,The Legend of Zelda: Link's Awakening (2019),0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Action', 'RPG']",2019-09-20,4.4,5,228,87.0,"{'yet': 56, 'owned': 86, 'beaten': 231, 'toplay': 346, 'dropped': 28, 'playing': 56}",9
49,Pathologic 2,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'RPG']",2019-05-22,4.01,5,110,66.0,"{'yet': 86, 'owned': 439, 'beaten': 32, 'toplay': 180, 'dropped': 39, 'playing': 26}",5
50,Children of Morta,3,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action', 'RPG']",2019-09-03,4.12,4,102,80.0,"{'yet': 38, 'owned': 512, 'beaten': 46, 'toplay': 92, 'dropped': 30, 'playing': 33}",9
51,ACE COMBAT 7: SKIES UNKNOWN,6,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Arcade', 'Adventure', 'Action', 'Simulation']",2019-01-18,4.03,4,128,79.0,"{'yet': 27, 'owned': 521, 'beaten': 49, 'toplay': 76, 'dropped': 28, 'playing': 33}",1
52,Need for Speed Heat,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Racing'],2019-11-08,3.1,3,113,73.0,"{'yet': 42, 'owned': 469, 'beaten': 35, 'toplay': 117, 'dropped': 46, 'playing': 22}",11
53,Crackdown 3,0,2,"['PC', 'Xbox']",1,['Xbox Store'],"['Shooter', 'Action']",2019-02-15,2.85,3,188,57.0,"{'yet': 19, 'owned': 547, 'beaten': 52, 'toplay': 38, 'dropped': 67, 'playing': 6}",2
54,World War Z (2019),0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']","['Shooter', 'Action']",2019-04-16,3.46,4,167,70.0,"{'yet': 63, 'owned': 408, 'beaten': 58, 'toplay': 54, 'dropped': 88, 'playing': 28}",4
55,Blair Witch,5,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-08-30,3.1,4,145,67.0,"{'yet': 53, 'owned': 396, 'beaten': 77, 'toplay': 115, 'dropped': 45, 'playing': 9}",8
56,Greedfall,5,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Adventure', 'Action', 'RPG']",2019-09-10,3.55,4,126,74.0,"{'yet': 60, 'owned': 296, 'beaten': 65, 'toplay': 201, 'dropped': 52, 'playing': 19}",9
57,Fire Emblem: Three Houses,0,1,['Nintendo'],1,['Nintendo Store'],"['Strategy', 'RPG']",2019-07-26,4.36,5,260,89.0,"{'yet': 50, 'owned': 104, 'beaten': 137, 'toplay': 214, 'dropped': 29, 'playing': 156}",7
58,Age of Empires II: Definitive Edition,3,1,['PC'],1,['Steam'],['Strategy'],2019-11-14,4.16,4,87,84.0,"{'yet': 28, 'owned': 479, 'beaten': 21, 'toplay': 62, 'dropped': 34, 'playing': 29}",11
60,CODE VEIN,6,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Action', 'RPG']",2019-09-26,3.68,4,72,72.0,"{'yet': 53, 'owned': 304, 'beaten': 42, 'toplay': 184, 'dropped': 31, 'playing': 26}",9
61,NBA 2K20,14,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store', 'Google Play']","['Action', 'Simulation', 'Sports']",2019-09-05,3.19,4,65,76.0,"{'yet': 5, 'owned': 537, 'beaten': 6, 'toplay': 13, 'dropped': 21, 'playing': 42}",9
63,MORDHAU,7,1,['PC'],1,['Steam'],"['Indie', 'Action']",2019-04-29,4.06,4,121,81.0,"{'yet': 16, 'owned': 414, 'beaten': 13, 'toplay': 56, 'dropped': 64, 'playing': 32}",4
64,F1 2019,7,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Racing', 'Simulation', 'Sports']",2019-06-28,3.95,4,42,87.0,"{'yet': 20, 'owned': 515, 'beaten': 1, 'toplay': 17, 'dropped': 15, 'playing': 19}",6
65,Pokémon Sword and Shield,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'RPG']",2019-11-15,3.74,4,228,80.0,"{'yet': 32, 'owned': 58, 'beaten': 214, 'toplay': 158, 'dropped': 28, 'playing': 96}",11
66,eFootball PES 2020,3,4,"['PC', 'PlayStation', 'iOS', 'Android']",2,"['Steam', 'PlayStation Store']",['Sports'],2019-09-10,3.35,4,73,82.0,"{'yet': 9, 'owned': 495, 'beaten': 9, 'toplay': 13, 'dropped': 22, 'playing': 28}",9
67,Wargroove,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'Xbox Store', 'GOG', 'Nintendo Store']","['Strategy', 'Indie']",2019-02-01,3.71,4,134,83.0,"{'yet': 43, 'owned': 316, 'beaten': 19, 'toplay': 72, 'dropped': 77, 'playing': 42}",2
68,Luigi's Mansion 3,0,1,['Nintendo'],1,['Nintendo Store'],"['Family', 'Action']",2019-10-31,4.35,5,152,86.0,"{'yet': 36, 'owned': 47, 'beaten': 137, 'toplay': 252, 'dropped': 15, 'playing': 74}",10
69,A Short Hike,2,3,"['PC', 'Apple Macintosh', 'Linux']",3,"['Steam', 'GOG', 'Epic Games']","['Indie', 'Adventure']",2019-07-29,4.39,5,95,78.0,"{'yet': 71, 'owned': 325, 'beaten': 89, 'toplay': 58, 'dropped': 6, 'playing': 8}",7
71,Pikuniku,2,5,"['PC', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'Xbox Store', 'GOG', 'Nintendo Store', 'itch.io']","['Adventure', 'Action', 'Casual', 'Indie', 'Platformer']",2019-01-03,4.03,4,64,75.0,"{'yet': 51, 'owned': 376, 'beaten': 52, 'toplay': 34, 'dropped': 14, 'playing': 14}",1
72,Astral Chain,0,1,['Nintendo'],1,['Nintendo Store'],['Action'],2019-08-30,4.31,5,139,87.0,"{'yet': 48, 'owned': 57, 'beaten': 101, 'toplay': 248, 'dropped': 24, 'playing': 62}",8
76,Supraland,4,2,"['PC', 'Linux']",2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Action']",2019-04-04,4.0,5,39,85.0,"{'yet': 16, 'owned': 419, 'beaten': 18, 'toplay': 35, 'dropped': 23, 'playing': 4}",4
77,APE OUT,2,2,"['PC', 'Nintendo']",5,"['Steam', 'GOG', 'Nintendo Store', 'itch.io', 'Epic Games']","['Indie', 'Action']",2019-02-28,4.08,4,150,84.0,"{'yet': 70, 'owned': 186, 'beaten': 112, 'toplay': 81, 'dropped': 43, 'playing': 21}",2
78,Super Mario Maker 2,0,1,['Nintendo'],1,['Nintendo Store'],"['Platformer', 'Action']",2019-06-28,4.32,5,186,88.0,"{'yet': 21, 'owned': 86, 'beaten': 98, 'toplay': 153, 'dropped': 45, 'playing': 106}",6
82,Trine 4: The Nightmare Prince,4,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Platformer', 'Adventure', 'Action', 'Puzzle']",2019-10-07,4.0,4,44,80.0,"{'yet': 31, 'owned': 314, 'beaten': 30, 'toplay': 90, 'dropped': 7, 'playing': 9}",10
83,Whispers of a Machine,4,3,"['PC', 'iOS', 'Apple Macintosh']",3,"['Steam', 'App Store', 'GOG']","['Indie', 'Adventure', 'Puzzle']",2019-04-16,3.31,4,13,77.0,"{'yet': 40, 'owned': 417, 'beaten': 8, 'toplay': 13, 'dropped': 3}",4
85,Jump Force,5,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Action', 'RPG', 'Fighting']",2019-02-15,2.42,3,89,59.0,"{'yet': 8, 'owned': 350, 'beaten': 15, 'toplay': 34, 'dropped': 53, 'playing': 10}",2
90,The Sinking City,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']","['Adventure', 'Action']",2019-06-25,3.23,3,110,66.0,"{'yet': 51, 'owned': 101, 'beaten': 38, 'toplay': 210, 'dropped': 37, 'playing': 11}",6
91,Observation,3,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']","['Indie', 'Adventure']",2019-05-21,3.93,4,95,77.0,"{'yet': 35, 'owned': 177, 'beaten': 75, 'toplay': 140, 'dropped': 9, 'playing': 11}",5
92,Darksiders Genesis,4,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Adventure', 'Action', 'RPG']",2019-12-05,3.65,4,58,76.0,"{'yet': 31, 'owned': 222, 'beaten': 36, 'toplay': 111, 'dropped': 20, 'playing': 16}",12
94,The Surge 2,4,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Adventure', 'Action', 'RPG']",2019-09-24,3.73,4,50,76.0,"{'yet': 35, 'owned': 216, 'beaten': 19, 'toplay': 124, 'dropped': 30, 'playing': 5}",9
95,Sayonara Wild Hearts,2,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store']",['Indie'],2019-09-19,4.4,5,123,85.0,"{'yet': 12, 'owned': 171, 'beaten': 125, 'toplay': 95, 'dropped': 14, 'playing': 10}",9
99,Catherine: Full Body,0,3,"['PlayStation', 'Nintendo']",1,['PlayStation Store'],"['Adventure', 'Action', 'RPG', 'Puzzle']",2019-09-03,4.05,5,56,81.0,"{'yet': 38, 'owned': 141, 'beaten': 39, 'toplay': 178, 'dropped': 10, 'playing': 12}",9
103,Monster Hunter World: Iceborne,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Massively Multiplayer', 'Action', 'RPG']",2019-09-06,4.5,5,61,89.0,"{'yet': 17, 'owned': 249, 'beaten': 19, 'toplay': 65, 'dropped': 8, 'playing': 41}",9
109,Afterparty,0,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure']",2019-10-29,3.62,4,47,74.0,"{'yet': 28, 'owned': 191, 'beaten': 21, 'toplay': 115, 'dropped': 14, 'playing': 14}",10
111,Tom Clancy's Ghost Recon Breakpoint,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']",['Shooter'],2019-10-04,2.48,1,76,59.0,"{'yet': 10, 'owned': 215, 'beaten': 18, 'toplay': 89, 'dropped': 29, 'playing': 13}",10
112,Etherborn,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure']",2019-07-17,3.27,4,11,69.0,"{'yet': 22, 'owned': 324, 'beaten': 6, 'toplay': 15, 'dropped': 3, 'playing': 1}",7
